,temp_outdoor,hum_outdoor,co2_outdoor,temp_living_room,hum_living_room,co2_living_room,tvoc_living_room,pm25_living_room,pir_living_room,pres_living_room,pm10_living_room,temp_indoor,hum_indoor,co2_indoor,current_fridge,power_fridge,voltage_fridge,energy_fridge,om_cloud_cover,om_temperature,om_humidity,om_rain,om_radiation,pv_energy,pv_power,pp_energy,synergy_consumption,synergy_production,synergy_net,f_temp_indoor,f_temp_outdoor,f_solar_norm,f_grid_import_norm,f_grid_export_norm,f_hour_sin,f_hour_cos,f_t_lag_1h,f_t_lag_2h,f_t_lag_3h,f_indoor_outdoor_delta,datetime_perth,epoch
2025-05-07 08:00:00+08:00,14.723333333333334,82.66666666666667,0.0,,,,,,,,,18.756666666666664,66.1,0.0,,,,,3.0,13.9,86.0,0.0,95.6,0.8585058333333329,858.5058333333333,,0.1220000013709068,0.3244999945163727,0.20249999314546588,0.3700282268411597,0.2944805736201434,0.18930619011600053,0.023264682837604713,0.16551899729694985,0.8660254037844387,-0.49999999999999983,0.37516037977931743,0.38221709006928406,0.38593790094944835,0.07554765322101631,2025-05-07 08:00:00,1746576000
2025-05-07 09:00:00+08:00,16.51,79.23333333333333,0.0,,,,,,,,,18.78,66.36666666666667,0.0,,,,,6.0,15.1,84.0,0.0,244.9,1.8114841666666663,1811.4841666666664,,0.0230000000447034,0.6130000054836273,0.590000005438924,0.37092635360533743,0.33916958479239623,0.3994441886499992,0.004385964756493196,0.3126753404168561,0.7071067811865476,-0.7071067811865475,0.3700282268411597,0.37516037977931743,0.38221709006928406,0.031756768812941205,2025-05-07 09:00:00,1746579600
2025-05-07 10:00:00+08:00,18.013333333333335,74.73333333333333,0.0,,,,,,,,,18.919999999999998,66.7,0.0,,,,,4.0,16.9,78.0,0.0,402.4,2.9761572222222217,2976.157222222222,,0.0020000000949949,1.0050000250339508,1.003000024938956,0.37631511419040276,0.37677171919292984,0.6562622675929495,0.0003813882570687532,0.5126243427983664,0.49999999999999994,-0.8660254037844387,0.37092635360533743,0.3700282268411597,0.37516037977931743,-0.00045660500252708847,2025-05-07 10:00:00,1746583200
2025-05-07 11:00:00+08:00,19.883333333333336,69.7,0.0,,,,,,,,,19.156666666666666,67.06666666666666,0.0,,,,,2.0,18.9,69.0,0.0,523.6,3.221177222222222,3221.177222222222,,0.0,1.1274999976158142,1.1274999976158142,0.3854246856556325,0.4235451058862766,0.7102907912223433,0.0,0.5751083889410262,0.258819045102521,-0.9659258262890682,0.37631511419040276,0.37092635360533743,0.3700282268411597,-0.0381204202306441,2025-05-07 11:00:00,1746586800
2025-05-07 12:00:00+08:00,21.41333333333333,63.333333333333336,0.0,,,,,,,,,19.523333333333333,67.10000000000001,0.0,,,,,1.0,20.7,61.0,0.0,577.5,3.449995833333333,3449.995833333333,,0.0,1.2580000162124634,1.2580000162124634,0.3995381062355658,0.4618142404535601,0.7607468019041723,0.0,0.6416730502364545,1.2246467991473532e-16,-1.0,0.3854246856556325,0.37631511419040276,0.37092635360533743,-0.06227613421799433,2025-05-07 12:00:00,1746590400
2025-05-07 13:00:00+08:00,22.30333333333333,57.9,0.0,,,,,,,,,19.963333333333335,65.36666666666666,0.0,,,,,0.0,22.1,55.0,0.0,568.1,3.1995541666666663,3199.554166666667,,0.7139999866485596,0.2614999935030937,-0.45249999314546585,0.4164742109314858,0.48407537101884274,0.7055227650692822,0.13615559876045985,0.1333843372857349,-0.2588190451025208,-0.9659258262890683,0.3995381062355658,0.3854246856556325,0.37631511419040276,-0.06760116008735695,2025-05-07 13:00:00,1746594000
2025-05-07 14:00:00+08:00,22.893333333333334,54.73333333333333,0.0,,,,,,,,,20.38,63.23333333333333,0.0,,,,,0.0,23.1,50.0,0.0,497.9,2.6317947222222218,2631.7947222222224,,0.5499999895691872,0.3835000097751617,-0.16649997979402548,0.43251218886322806,0.49883274970818753,0.5803280684731751,0.10488176372319603,0.1956133687335163,-0.4999999999999998,-0.8660254037844388,0.4164742109314858,0.3995381062355658,0.3854246856556325,-0.06632056084495946,2025-05-07 14:00:00,1746597600
2025-05-07 15:00:00+08:00,23.046666666666667,52.23333333333333,0.0,,,,,,,,,20.62,61.96666666666667,0.0,,,,,2.0,23.5,48.0,0.0,374.6,1.6104858333333332,1610.4858333333334,,0.0289999991655349,0.2730000056326389,0.24400000646710399,0.4417500641519117,0.5026680006670002,0.3551227324343076,0.005530129305702286,0.1392501940153227,-0.7071067811865471,-0.7071067811865479,0.43251218886322806,0.4164742109314858,0.3995381062355658,-0.06091793651508853,2025-05-07 15:00:00,1746601200
2025-05-07 16:00:00+08:00,22.683333333333334,52.36666666666667,0.0,,,,,,,,,20.743333333333336,61.166666666666664,0.0,,,,,34.0,23.4,48.0,0.0,214.8,0.37964361111111067,379.6436111111111,,0.2719999998807907,0.0005000000237487,-0.271499999857042,0.4464973056197075,0.49358012339503093,0.0837139164707578,0.051868800474982164,0.0002550369922276233,-0.8660254037844384,-0.5000000000000004,0.4417500641519117,0.43251218886322806,0.4164742109314858,-0.047082817775323416,2025-05-07 16:00:00,1746604800
2025-05-07 17:00:00+08:00,21.283333333333335,57.96666666666667,0.0,,,,,,,,,20.7,61.20000000000001,0.0,,,,,62.0,21.9,56.0,0.0,53.0,0.016255555555555277,16.255555555555556,,0.2170000001788139,0.0,-0.2170000001788139,0.4448293559148062,0.45856261464065373,0.003584457054290498,0.04138062396058437,0.0,-0.9659258262890683,-0.25881904510252063,0.4464973056197075,0.4417500641519117,0.43251218886322806,-0.01373325872584752,2025-05-07 17:00:00,1746608400
